"artist","bdp","bdp_s","beg","beg_s","bsp","bsp_s","cdp","cdp_s","csp","csp_s","ddp","ddp_s","dsp","dsp_s","edp","edp_s","esp","esp_s","konami_id","sa4_id","title"
"Dr.VIBE feat. JP Miles","4","0","3","0","5","0","-1","0","-1","0","5","0","6","0","8","0","10","0","1q6obddbql8lQdPI19liD6PdQ0dPIODd","33","Don't Stop!〜AMD 2nd MIX〜"
"NW260","6","0","4","0","8","0","-1","0","-1","0","9","0","10","0","13","0","13","0","Q0OiPQQ8IbIDq08IO9Io0qDdoDPPdd1q","34","DROP OUT"
"TaQ","5","0","4","0","5","0","-1","0","-1","0","7","0","8","0","11","0","11","0","D81Pq66DQPiQdliqIPl0ioPOi9OlQoQ9","35","era (nostalmix)"
"NM feat. SUNNY","4","0","3","0","4","0","-1","0","-1","0","7","0","7","0","10","0","9","0","O1blDPOQ8IQb00o0D89QIDIlo8b06liD","36","HIGHER"
"TaQ","7","0","4","0","7","0","-1","0","-1","0","8","0","9","0","11","0","11","0","ODq019O9o1OPdq9PiPl0o8D8DQ8bid88","37","Holic"
"NAOKI 190","4","0","5","0","6","0","-1","0","-1","0","8","0","8","0","10","0","11","0","8l808Do60DP0qDbD066QQqP1qOQdob90","38","HYSTERIA"
"dj TAKA","7","0","3","0","8","0","-1","0","-1","0","10","0","9","0","13","0","13","0","8lDOiqP0biD8dD9lOQO619i1PqbqDiP8","39","LEADING CYBER"
"NAOKI feat. PAULA TERRY","5","0","4","0","5","0","-1","0","-1","0","7","0","8","0","10","0","11","0","boOdPIqbDd8li0O0IqliPo1Doq99Ob09","40","LOVE AGAIN TONIGHT〜For Melissa MIX〜"
"MITSU-O! with GEILA","5","0","3","0","4","0","-1","0","-1","0","8","0","9","0","11","0","12","0","6Ddo196olOPi9IQdbQ8Qbd8do8Q1obOD","41","MY SUMMER LOVE"
"RE-VENGE","5","0","3","0","4","0","-1","0","-1","0","8","0","7","0","9","0","12","0","1d10660Dd0IOibDI890Ild80q6ddoQO8","42","ORION.78(AMeuro-MIX)"
"200","6","0","5","0","9","0","-1","0","-1","0","10","0","10","0","13","0","12","0","DPQo8Q0l9D8IPiDiq11l8OI6i11OOb6O","43","PARANOIA EVOLUTION"
